SMITH	2,501,922 	1.006	1
JOHNSON	2,014,470 	0.81	2
WILLIAMS	1,738,413 	0.699	3
JONES	1,544,427 	0.621	4
BROWN	1,544,427 	0.621	5
DAVIS	1,193,760 	0.48	6
MILLER	1,054,488 	0.424	7
WILSON	843,093 	0.339	8
MOORE	775,944 	0.312	9
TAYLOR	773,457 	0.311	10
ANDERSON	773,457 	0.311	11
THOMAS	773,457 	0.311	12
JACKSON	770,970 	0.31	13
WHITE	693,873 	0.279	14
HARRIS	683,925 	0.275	15
MARTIN	678,951 	0.273	16
THOMPSON	669,003 	0.269	17
GARCIA	631,698 	0.254	18
MARTINEZ	581,958 	0.234	19
ROBINSON	579,471 	0.233	20
CLARK	574,497 	0.231	21
RODRIGUEZ	569,523 	0.229	22
LEWIS	562,062 	0.226	23
LEE	547,140 	0.22	24
WALKER	544,653 	0.219	25
HALL	497,400 	0.2	26
ALLEN	494,913 	0.199	27
YOUNG	479,991 	0.193	28
HERNANDEZ	477,504 	0.192	29
KING	472,530 	0.19	30
WRIGHT	470,043 	0.189	31
LOPEZ	465,069 	0.187	32
HILL	465,069 	0.187	33
SCOTT	460,095 	0.185	34
GREEN	455,121 	0.183	35
ADAMS	432,738 	0.174	36
BAKER	425,277 	0.171	37
GONZALEZ	412,842 	0.166	38
NELSON	402,894 	0.162	39
CARTER	402,894 	0.162	40
MITCHELL	397,920 	0.16	41
PEREZ	385,485 	0.155	42
ROBERTS	380,511 	0.153	43
TURNER	378,024 	0.152	44
PHILLIPS	370,563 	0.149	45
CAMPBELL	370,563 	0.149	46
PARKER	363,102 	0.146	47
EVANS	350,667 	0.141	48
EDWARDS	340,719 	0.137	49
COLLINS	333,258 	0.134	50
